Benchmark,Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible,Time_s_paper,Time_s_paper_ms,Time_diff_percent
GendreauDumasExtended,n60w140.002.txt,61,1200.0,647.0,SMA-Beam,644.0,647.0,647.0,106165.0,73999,74,0,0.0,1,40.44,40440.0,162.52472799208704
GendreauDumasExtended,n60w140.003.txt,61,1200.0,625.0,SMA-Beam,615.0,625.0,625.0,91019.0,61999,62,0,0.0,1,63.29,63290.0,43.81260862695528
GendreauDumasExtended,n60w140.004.txt,61,1200.0,578.0,SMA-Beam,578.0,578.0,130578.0,1200003.0,874920,874,0,0.0,0,48.45,48450.0,2376.7863777089783
GendreauDumasExtended,n60w140.005.txt,61,1200.0,554.0,SMA-Beam,535.0,554.0,554.0,359347.0,263651,263,0,0.0,1,39.83,39830.0,802.2018578960582
GendreauDumasExtended,n60w160.001.txt,61,1200.0,672.0,SMA-Beam,659.0,672.0,672.0,9399.0,5999,6,0,0.0,1,57.99,57990.0,-83.79203310915675
GendreauDumasExtended,n60w160.002.txt,61,1200.0,665.0,SMA-Beam,612.0,665.0,665.0,18971.0,13199,13,0,0.0,1,36.21,36210.0,-47.6083954708644
GendreauDumasExtended,n60w160.003.txt,61,1200.0,569.0,SMA-Beam,499.0,569.0,569.0,347.0,199,0,0,0.0,1,78.76,78760.0,-99.55942102590147
GendreauDumasExtended,n60w160.004.txt,61,1200.0,573.0,SMA-Beam,569.0,573.0,573.0,932118.0,682916,682,0,0.0,1,214.91,214910.0,333.7248150388535
GendreauDumasExtended,n60w160.005.txt,61,1200.0,619.0,SMA-Beam,613.0,619.0,619.0,88340.0,63199,63,0,0.0,1,72.59,72590.0,21.697203471552555
GendreauDumasExtended,n60w180.001.txt,61,1200.0,556.0,SMA-Beam,469.0,556.0,556.0,28.0,0,0,0,0.0,1,85.01,85010.0,-99.96706269850606
GendreauDumasExtended,n60w180.002.txt,61,1200.0,561.0,SMA-Beam,560.0,561.0,561.0,97593.0,68999,69,0,0.0,1,59.32,59320.0,64.51955495616993
